지점,지점명,일시,월 미세먼지 농도(㎍/㎥)
108,서울,May-08,63
108,서울,Jun-08,42
108,서울,Jul-08,37
108,서울,Aug-08,27
108,서울,Sep-08,40
108,서울,Oct-08,60
108,서울,Nov-08,46
108,서울,Dec-08,62
108,서울,Jan-09,57
108,서울,Feb-09,81
108,서울,Mar-09,59
108,서울,Apr-09,63
108,서울,May-09,56
108,서울,Jun-09,47
108,서울,Jul-09,39
108,서울,Aug-09,31
108,서울,Sep-09,39
108,서울,Oct-09,49
108,서울,Nov-09,43
108,서울,Dec-09,68
108,서울,Jan-10,56
108,서울,Feb-10,47
108,서울,Mar-10,60
108,서울,Apr-10,46
108,서울,May-10,55
108,서울,Jun-10,48
108,서울,Jul-10,30
108,서울,Aug-10,33
108,서울,Sep-10,27
108,서울,Oct-10,38
108,서울,Nov-10,69
108,서울,Dec-10,64
108,서울,Jan-11,44
108,서울,Feb-11,74
108,서울,Mar-11,67
108,서울,Apr-11,56
108,서울,May-11,76
108,서울,Jun-11,48
108,서울,Jul-11,35
108,서울,Aug-11,33
108,서울,Sep-11,32
108,서울,Oct-11,39
108,서울,Nov-11,36
108,서울,Dec-11,41
108,서울,Jan-12,55
108,서울,Feb-12,47
108,서울,Mar-12,43
108,서울,Apr-12,49
108,서울,May-12,48
108,서울,Jun-12,37
108,서울,Jul-12,27
108,서울,Aug-12,24
108,서울,Sep-12,28
108,서울,Oct-12,34
108,서울,Nov-12,42
108,서울,Dec-12,40
108,서울,Jan-13,62
108,서울,Feb-13,44
108,서울,Mar-13,55
108,서울,Apr-13,54
108,서울,May-13,57
108,서울,Jun-13,43
108,서울,Aug-13,41
108,서울,Sep-13,33
108,서울,Oct-13,30
108,서울,Nov-13,44
108,서울,Dec-13,58
108,서울,Jan-14,61
108,서울,Feb-14,59
108,서울,Mar-14,66
108,서울,Apr-14,63
108,서울,May-14,70
108,서울,Jun-14,42
108,서울,Jul-14,42
108,서울,Aug-14,33
108,서울,Sep-14,31
108,서울,Oct-14,35
108,서울,Nov-14,45
108,서울,Dec-14,48
108,서울,Jan-15,51
108,서울,Feb-15,91
108,서울,Mar-15,73
108,서울,Apr-15,47
108,서울,May-15,46
108,서울,Jun-15,34
108,서울,Jul-15,29
108,서울,Aug-15,32
108,서울,Sep-15,26
108,서울,Oct-15,42
108,서울,Nov-15,32
108,서울,Dec-15,43
108,서울,Jan-16,47
108,서울,Feb-16,42
108,서울,Mar-16,60
108,서울,Apr-16,64
108,서울,May-16,49
108,서울,Jun-16,41
108,서울,Jul-16,29
108,서울,Aug-16,30
108,서울,Sep-16,30
108,서울,Oct-16,34
108,서울,Nov-16,46
108,서울,Dec-16,42
108,서울,Jan-17,47
108,서울,Feb-17,41
108,서울,Mar-17,51
108,서울,Apr-17,51
108,서울,May-17,59
108,서울,Jun-17,36
108,서울,Jul-17,30
108,서울,Aug-17,20
108,서울,Sep-17,32
108,서울,Oct-17,29
108,서울,Nov-17,36
108,서울,Dec-17,43
108,서울,Jan-18,42
108,서울,Feb-18,44
108,서울,Mar-18,42
108,서울,Apr-18,47
108,서울,May-18,45
108,서울,Jun-18,31
108,서울,Jul-18,22
108,서울,Aug-18,20
108,서울,Sep-18,19
108,서울,Oct-18,27
108,서울,Nov-18,51
108,서울,Dec-18,46
108,서울,Jan-19,68
108,서울,Feb-19,61
108,서울,Mar-19,68
108,서울,Apr-19,38
108,서울,May-19,46
108,서울,Jun-19,26
108,서울,Jul-19,26
108,서울,Aug-19,25
108,서울,Sep-19,24
108,서울,Oct-19,27
108,서울,Nov-19,40
108,서울,Dec-19,48
108,서울,Jan-20,47
